property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
46182,-37.727942,145.130739,61 Sackville Street,MONTMORENCY,9600000.0,house,2013,3,2,0,SC_009,5413,19986,1625,40,0,hospital_075,3353,S_194,2800
69628,-37.869482,145.078433,17 Nicholas Street,ASHBURTON,9680000.0,house,2014,3,1,2,SC_042,1444,19847,168,37,0,hospital_098,841,S_112,1389
36728,-37.646863,145.052221,108 McDonalds Road,EPPING,6290000.0,house,2016,3,1,0,SC_062,2982,45795,1330,46,1,hospital_053,3192,S_083,1988
49590,-37.811203,145.0879517,5/22 Brenbeal Street,BALWYN,6786000.0,house,2009,3,1,1,SC_099,3010,19894,1459,31,1,hospital_117,2491,S_136,1438
50439,-37.75639725,145.0912781,90 Templestowe Road,BULLEEN,8492000.0,house,2008,3,3,2,SC_009,1032,19936,2676,28,0,hospital_004,2586,S_154,1121
47292,-37.70474243,145.1613922,5/85-87 Park Road,ELTHAM,8100000.0,house,2009,2,1,1,SC_051,3462,19987,1546,44,0,hospital_075,4890,S_194,1180
24452,-37.7102623,144.9651337,5 Piper Street,FAWKNER,4953000.0,house,2009,3,1,1,SC_030,2797,19962,632,33,1,hospital_139,3011,S_004,2352
44641,-37.707754,145.088894,214 Nell Street,GREENSBOROUGH,7910000.0,house,2011,3,2,0,SC_017,5637,19984,574,34,0,hospital_075,1523,S_020,1041
89690,-37.95123,145.014107,83 Sandringham Road,SANDRINGHAM,34020000.0,house,2015,5,2,2,SC_079,2378,19948,844,29,0,hospital_058,1218,S_214,957
59332,-37.826655,145.211709,11 Panel Street,MITCHAM,6744000.0,house,2011,3,2,1,SC_032,2158,19901,869,41,1,hospital_010,2377,S_040,2219
18845,-37.680647,144.925373,40 Gosford Crescent,BROADMEADOWS,5665000.0,house,2013,3,1,1,SC_072,3339,20030,574,37,0,hospital_104,3362,S_153,434
19112,-37.68914,144.935114,64 Ophir Street,BROADMEADOWS,5640000.0,house,2010,3,1,0,SC_059,4420,20030,1525,37,0,hospital_104,4471,S_153,1709
60035,-37.812449,145.205557,48 Edgerton Road,MITCHAM,6985000.0,house,2012,4,2,2,SC_032,2046,19901,959,41,1,hospital_010,1032,S_040,2041
3999,-37.8320144,144.8558349,"1 & 2,116 Blackshaws Road",ALTONA NORTH,3120000.0,house,2007,2,1,1,SC_033,995,19995,2651,19,0,hospital_141,4615,S_056,907
28982,-37.80109787,144.9999847,30 Valiant Street,ABBOTSFORD,12880000.0,house,2009,3,1,1,SC_068,2884,19975,532,11,1,hospital_134,1152,S_076,1023
12790,-37.722045,144.769907,26 Kalyna Court,DELAHEY,5968000.0,house,2015,3,2,2,SC_048,2780,20001,2248,36,0,hospital_057,5807,S_094,2267
562,-37.807442,144.895121,2/2A Pentland Parade,SEDDON,6600000.0,house,2011,3,2,2,SC_043,3331,19997,181,15,0,hospital_003,1774,S_201,787
92061,-37.979636,145.066241,18 Swanston Street,MENTONE,10780000.0,house,2015,3,2,2,SC_003,2215,19865,266,39,0,hospital_133,193,S_011,397
51918,-37.803324,145.193478,39 Wooddale Grove,DONVALE,17600000.0,house,2016,4,2,1,SC_088,2160,19900,1640,40,1,hospital_070,726,S_202,2749
40771,-37.693956,145.044809,5 Landbury Road,BUNDOORA,4080000.0,house,2014,3,1,2,SC_047,5125,20008,2902,36,1,hospital_037,1401,S_155,1031
74148,-37.91368,145.276927,26 Crusoe Drive,LYSTERFIELD,5922000.0,house,2011,3,2,1,SC_049,3488,19867,3563,58,1,hospital_150,3592,S_199,2915
54705,-37.815875,145.024755,70 Melville Street,HAWTHORN,9270000.0,house,2010,2,2,0,SC_083,1081,19905,682,19,0,hospital_086,665,S_208,1046
59100,-37.808879,145.183797,7 Lemon Grove,NUNAWADING,9035000.0,house,2014,3,1,1,SC_088,1221,19900,1245,40,1,hospital_070,887,S_202,1801
74999,-37.89371109,145.0684357,3/30 Ardyne Street,MURRUMBEENA,9390000.0,house,2009,3,2,2,SC_087,1297,19919,402,30,0,hospital_108,3037,S_015,1252
30955,-37.756265,145.023178,219 Collins Street,THORNBURY,5700000.0,house,2013,3,1,2,SC_047,2070,20014,2170,23,1,hospital_039,1036,S_105,1815
44768,-37.71660614,145.1095581,27 Fricker Avenue,GREENSBOROUGH,4510000.0,house,2009,4,3,2,SC_017,5661,19986,1063,40,0,hospital_075,1318,S_020,1568
71616,-37.853778,145.239706,5 Haileybury Court,WANTIRNA,6300000.0,house,2016,3,2,2,SC_032,4666,19870,2836,50,1,hospital_179,1174,S_226,2235
79696,-37.995102,145.149844,15 Elmswood Boulevard,KEYSBOROUGH,10560000.0,house,2015,4,2,2,SC_057,2077,19890,3908,49,0,hospital_096,1864,S_079,1997
80644,-37.97398,145.200035,1/16 Edgewood Road,DANDENONG,3630000.0,house,2016,2,1,1,SC_112,1967,19889,880,51,0,hospital_018,975,S_183,1564
78436,-37.928093,145.18931,9 Edgbaston Way,MULGRAVE,5040000.0,house,2014,3,2,1,SC_073,2448,19891,3925,46,0,hospital_161,2395,S_067,884
66136,-37.771866,145.306731,27 Wandana Crescent,MOOROOLBARK,5049000.0,house,2015,4,2,2,SC_084,1653,19877,1518,54,1,hospital_113,4370,S_058,1687
82962,-37.89355,145.247009,1/15 Rickards Avenue,KNOXFIELD,5115000.0,house,2010,3,2,1,SC_049,5379,19868,4439,55,1,hospital_002,4629,S_027,1438
79847,-37.987872,145.158355,2 Filer Court,KEYSBOROUGH,6075000.0,house,2009,3,1,2,SC_057,1421,19890,2817,49,0,hospital_096,1282,S_079,1366
71080,-37.842038,145.230016,12 Dudley Avenue,WANTIRNA,4740000.0,house,2013,3,1,1,SC_032,3262,19871,1991,46,1,hospital_179,853,S_226,2888
71173,-37.84564,145.23343,16 Tabilk Court,WANTIRNA,11700000.0,house,2016,4,2,1,SC_032,3683,19871,2162,46,1,hospital_179,670,S_226,2624
43139,-37.722118,145.075743,4 Milton Street,MACLEOD,10880000.0,house,2012,3,1,3,SC_017,3799,19983,725,31,0,hospital_037,2788,S_020,2890
46206,-37.71942,145.135038,67 Belmont Crescent,MONTMORENCY,5940000.0,house,2015,4,2,2,SC_051,5538,19986,1276,40,0,hospital_075,3022,S_194,2081
85355,-37.885852,145.00818,2 Shoobra Road,ELSTERNWICK,15820000.0,house,2012,4,1,2,SC_015,3078,19954,651,17,0,hospital_116,109,S_193,230
68412,-37.864097,145.026587,25 Railway Avenue,ARMADALE,8822000.0,house,2010,3,2,2,SC_023,1965,19944,338,20,0,hospital_092,132,S_013,98
62618,-37.825542,145.239278,18 Edna Street,HEATHMONT,7300000.0,house,2013,3,1,2,SC_032,1695,19871,558,46,1,hospital_105,1638,S_190,1750
82285,-37.978857,145.23759,54 Botanical Grove,DOVETON,5044000.0,house,2010,4,2,1,SC_112,2178,19888,2740,54,0,hospital_119,1777,S_195,1783
33682,-37.725331,144.999687,12 Butters Street,RESERVOIR,6890000.0,house,2011,4,3,1,SC_103,1599,20011,437,29,1,hospital_139,876,S_085,1343
64647,-37.778777,145.30136,53A Bambra Street,CROYDON,8624000.0,house,2012,4,2,2,SC_084,2549,19877,1177,54,1,hospital_113,5060,S_058,2580
21478,-37.775753,144.967588,68 Weston Street,BRUNSWICK,7920000.0,house,2011,4,1,0,SC_008,4023,19969,785,20,1,hospital_024,1886,S_138,466
17087,-37.711792,144.944375,34 Dickinson Street,HADFIELD,9095000.0,house,2013,3,3,3,SC_030,2350,19962,1458,33,1,hospital_139,4771,S_004,727
2205,-37.7890107,144.8797109,36 Howard Street,MAIDSTONE,7150000.0,house,2014,2,1,1,SC_043,1683,20023,1508,20,0,hospital_056,732,S_149,1683
45237,-37.695893,145.12111,51 Albion Crescent,GREENSBOROUGH,12350000.0,house,2014,4,2,2,SC_051,4207,19985,1445,38,0,hospital_075,1691,S_051,1785
47300,-37.732137,145.136376,513 Main Road,ELTHAM,5280000.0,house,2013,4,2,2,SC_009,5407,19986,2286,40,0,hospital_075,4032,S_194,2695
32232,-37.733132,145.011917,20 Goldsmith Avenue,PRESTON,7777000.0,house,2013,3,2,2,SC_103,1134,20011,962,29,1,hospital_139,2119,S_085,915
22889,-37.73697,144.981117,5 Bateman Court,COBURG,7100000.0,house,2015,5,2,2,SC_103,1857,19964,1654,30,1,hospital_144,2322,S_030,848
9586,-37.857127,144.718853,57 Doubell Blvd,TRUGANINA,5076000.0,house,2016,3,2,2,SC_053,1507,46468,2885,33,0,hospital_073,4116,S_007,2404
59110,-37.813699,145.167791,7 Sandy Street,NUNAWADING,9660000.0,house,2014,4,2,2,SC_002,710,19899,990,37,1,hospital_070,2328,S_202,1357
38251,-37.781544,145.018291,36 Arthur Street,FAIRFIELD,4100000.0,house,2010,4,2,2,SC_001,2564,19930,291,18,0,hospital_029,1009,S_219,2538
69127,-37.846323,145.037656,4 Arthur Street,MALVERN,18990000.0,house,2015,4,2,2,SC_038,2663,19911,493,15,0,hospital_168,1520,S_235,1724
64202,-37.811642,145.287603,3 Tara Close,CROYDON,7488000.0,house,2012,3,2,2,SC_022,1453,19878,1906,51,1,hospital_164,2848,S_055,1340
9762,-37.888419,144.638137,2 Bemm Court,WERRIBEE,5175000.0,house,2011,3,2,2,SC_012,2894,19921,2359,40,0,hospital_073,3853,S_236,2496
32472,-37.73234558,145.0057831,27 Wurruk Avenue,PRESTON,5356000.0,house,2009,3,1,1,SC_103,874,20011,513,29,1,hospital_139,1780,S_085,593
96545,-37.999653,145.265656,16 Christopher Court,HALLAM,3924000.0,house,2010,4,2,2,SC_077,1642,19885,2046,59,0,hospital_119,4404,S_212,566
17463,-37.7115,144.904762,57 Tarana Avenue,GLENROY,5247000.0,house,2015,3,1,2,SC_010,1592,20032,1343,33,0,hospital_184,3429,S_209,1802
76839,-37.918221,145.112786,41 Carinish Road,CLAYTON,12155000.0,house,2014,3,2,2,SC_087,4303,19915,990,39,0,hospital_077,687,S_169,1000
45816,-37.719537,145.118696,13 Nokes Court,MONTMORENCY,7384000.0,house,2015,4,3,3,SC_009,5649,19986,533,40,0,hospital_075,1962,S_210,2316
95137,-37.921592,145.028247,20 Talbot Avenue,BENTLEIGH,20570000.0,house,2010,4,3,2,SC_046,2182,19938,748,39,0,hospital_110,1480,S_107,1238
47526,-37.71504,145.160543,8 Adecroft Court,ELTHAM,6636000.0,house,2012,3,2,2,SC_051,4606,19987,1132,44,0,hospital_075,4940,S_194,224
27952,-37.57618713,144.9364166,9 Reay Drive,CRAIGIEBURN,5120000.0,house,2009,3,2,1,SC_005,1420,40221,2917,46,0,hospital_104,8413,S_178,1994
75168,-37.896612,145.041473,41 Royal Avenue,GLEN HUNTLY,14480000.0,house,2014,4,2,1,SC_041,2006,19941,753,36,0,hospital_126,1991,S_015,1646
52711,-37.823328,145.013719,22 Campbell Street,RICHMOND,13200000.0,house,2012,3,2,0,SC_083,1949,19906,718,13,0,hospital_122,961,S_208,1948
4775,-37.86626816,144.8232575,1/109 Railway Street Nth,ALTONA,9605000.0,house,2010,3,1,2,SC_033,4868,19926,570,30,0,hospital_141,6018,S_128,623
19699,-37.676792,144.895551,30 Riddell Street,WESTMEADOWS,3200000.0,house,2011,3,1,2,SC_059,1577,20030,2231,37,0,hospital_104,3639,S_153,2304
20938,-37.760372,144.970491,28 Leithead Street,BRUNSWICK,10860000.0,house,2010,3,1,0,SC_030,3592,19967,868,23,1,hospital_144,448,S_074,1398
51444,-37.777,145.129918,46 Cantala Drive,DONCASTER,7650000.0,house,2011,4,3,2,SC_091,1175,20042,4759,30,1,hospital_194,1356,S_188,1229
54246,-37.817338,145.037858,20 Johnson Street,HAWTHORN,13680000.0,house,2011,3,1,0,SC_083,402,19904,476,20,0,hospital_086,650,S_208,360
27616,-37.608751,144.922023,7 Park Lane,CRAIGIEBURN,3905000.0,house,2013,4,2,2,SC_016,1909,40221,2031,46,0,hospital_104,4672,S_005,1900
14381,-37.760173,144.892333,38 Allan Street,ABERFELDIE,10920000.0,house,2014,4,2,1,SC_085,1500,20037,2151,21,0,hospital_068,1935,S_049,1476
23033,-37.736177,144.975097,60 Woiwurung Crescent,COBURG,4450000.0,house,2015,2,2,1,SC_030,2238,19964,1119,30,1,hospital_144,2279,S_030,1045
59236,-37.805916,145.200503,1/26 Beaufort Street,MITCHAM,9170000.0,house,2010,5,3,2,SC_088,2370,19900,1541,40,1,hospital_070,733,S_040,2574
48343,-37.803825,145.053074,36 Argyle Road,KEW,20400000.0,house,2011,4,2,2,SC_099,2325,19903,2163,23,0,hospital_064,685,S_137,1572
94015,-38.061226,145.127067,69 Bondi Road,BONBEACH,6354000.0,house,2016,4,2,2,SC_070,5730,19859,675,51,0,hospital_096,8454,S_077,1244
1652,-37.786382,144.864709,106 Ashley Street,MAIDSTONE,7200000.0,house,2015,3,1,3,SC_043,857,20022,1441,22,0,hospital_056,2034,S_149,858
50397,-37.769154,145.090408,79 Summit Drive,BULLEEN,12060000.0,house,2010,3,2,2,SC_009,412,19935,2941,26,0,hospital_193,2227,S_154,305
89436,-37.95503235,145.0135651,3 Keats Street,SANDRINGHAM,13280000.0,house,2009,4,2,2,SC_079,2502,19948,948,29,0,hospital_058,857,S_214,1308
29366,-37.76773071,144.9901123,13 Gracie Street,NORTHCOTE,7882000.0,house,2008,3,1,1,SC_103,3302,20016,513,20,1,hospital_035,1650,S_105,2203
67347,-37.765796,145.365413,30 Candlebark Circuit,LILYDALE,10780000.0,house,2015,4,3,2,SC_084,4610,19876,1933,60,1,hospital_113,1027,S_081,1539
37150,-37.648503,145.029492,25A Davisson Street,EPPING,4875000.0,house,2011,3,2,2,SC_062,4949,20005,436,43,1,hospital_053,1196,S_196,2078
86602,-37.89264,144.993791,33 Foote Street,BRIGHTON,14640000.0,house,2013,4,3,2,SC_015,2903,19953,1017,19,0,hospital_116,1580,S_193,1243
78071,-37.929335,145.17906,42 KAMBARA DRIVE,MULGRAVE,8200000.0,house,2015,3,2,1,SC_073,2639,19913,3178,44,0,hospital_161,3163,S_067,1112
34856,-37.724112,144.999004,4 Armstrong Street,RESERVOIR,4560000.0,house,2014,2,1,2,SC_103,1742,20011,582,29,1,hospital_139,733,S_085,1488
59918,-37.827705,145.190282,39 Alwyn Street,MITCHAM,13715000.0,house,2014,3,1,1,SC_088,1325,19900,1089,40,1,hospital_010,1949,S_202,1307
15754,-37.735953,144.882512,43 Hotham Road,NIDDRIE,4950000.0,house,2015,2,1,2,SC_082,2042,20036,3607,24,0,hospital_184,2108,S_198,1506
82901,-37.909912,145.2742,8 Rosebank Court,ROWVILLE,6006000.0,house,2010,4,2,2,SC_049,3452,19867,3501,58,1,hospital_150,3645,S_199,2672
59542,-37.812428,145.200838,1A Thomas Street,MITCHAM,5679000.0,house,2014,3,1,0,SC_088,2021,19900,997,40,1,hospital_010,632,S_040,2455
19204,-37.686492,144.914882,8 Kinnaird Street,JACANA,3146000.0,house,2013,4,1,2,SC_059,2643,20030,566,37,0,hospital_104,4014,S_153,1109
85321,-37.8758859,145.0012275,18 Myrtle Street,ST KILDA EAST,13650000.0,house,2010,3,2,0,SC_015,1973,19955,526,15,0,hospital_009,697,S_133,791
60734,-37.832735,145.196151,4 Malvern Street,VERMONT,9360000.0,house,2012,4,1,3,SC_088,2086,19900,1680,40,1,hospital_010,2487,S_202,2009
40059,-37.678161,145.055117,21 Willunga Way,BUNDOORA,5850000.0,house,2010,4,2,2,SC_062,3982,45795,3395,46,1,hospital_041,1634,S_155,2286
20852,-37.7561,144.953785,24 Garnet Street,BRUNSWICK,9230000.0,house,2011,3,1,2,SC_030,2657,19966,730,26,1,hospital_011,430,S_074,1621
44534,-37.7093455,145.1017562,2 Natimuk Street,GREENSBOROUGH,5908000.0,house,2010,2,1,1,SC_017,5938,19985,829,38,0,hospital_075,593,S_020,539
8826,-37.882863,144.754033,12 Seaside Close,SEABROOK,4656000.0,house,2012,3,2,2,SC_092,2497,46468,1558,33,0,hospital_073,6554,S_001,1652
82084,-37.999134,145.244429,3 Redfern Crescent,EUMEMMERRING,6460000.0,house,2013,3,1,2,SC_077,755,19885,3038,59,0,hospital_119,2724,S_212,1964
31824,-37.746347,145.004494,13 Garnet Street,PRESTON,6480000.0,house,2016,2,1,0,SC_103,785,20013,392,25,1,hospital_035,1867,S_105,531
69255,-37.842331,145.03777,67 Talbot Crescent,KOOYONG,10800000.0,house,2010,3,2,1,SC_083,2441,19910,457,13,0,hospital_168,1564,S_235,2135
49485,-37.809769,145.076446,4 Walker Street,BALWYN,23360000.0,house,2009,3,1,0,SC_099,2292,19893,1691,29,1,hospital_064,2478,S_137,2123
81866,-37.98981857,145.2413483,18 Ti Tree Drive,DOVETON,10680000.0,house,2009,3,1,1,SC_077,1816,19888,2774,54,0,hospital_119,2032,S_195,1979
68948,-37.86474609,145.0315094,23 McKinley Avenue,MALVERN,28080000.0,house,2009,4,2,0,SC_023,1619,19944,257,20,0,hospital_157,256,S_013,433
93371,-38.012008,145.098148,44 Mount View Street,ASPENDALE,9000000.0,house,2010,3,1,1,SC_003,4620,19863,1100,44,0,hospital_001,3255,S_119,1098
55333,-37.847397,145.088577,23 Through Road,CAMBERWELL,21420000.0,house,2015,3,1,3,SC_042,3343,19849,847,34,0,hospital_089,1219,S_160,2072
88123,-37.943715,145.045698,19A Grandview Grove,MOORABBIN,6589000.0,house,2014,3,1,2,SC_079,727,19872,623,40,0,hospital_110,1421,S_069,727
53198,-37.824279,144.994905,39 Stanley St,RICHMOND,3300000.0,house,2010,4,1,1,SC_038,2160,19907,303,6,0,hospital_146,748,S_076,1635
83354,-37.857326,145.006746,1 Pickford Street,PRAHRAN,12350000.0,house,2015,2,1,1,SC_066,1608,19946,964,23,0,hospital_132,403,S_115,1041
42556,-37.74702835,145.0700378,7/77 St. James Road,ROSANNA,10740000.0,house,2009,3,1,1,SC_017,981,19936,575,28,0,hospital_066,1169,S_100,1358
53532,-37.816995,145.004761,6 Allans Place,RICHMOND,24500000.0,house,2015,3,2,2,SC_038,2642,19978,1195,7,1,hospital_122,350,S_076,1153
68189,-37.842802,145.017079,7 E Woorigoleen Road,TOORAK,29700000.0,house,2011,3,2,2,SC_038,814,19946,930,23,0,hospital_132,1451,S_102,824
7589,-37.744954,144.777821,6 Robyn Ave,ALBANVALE,5664000.0,house,2011,3,1,2,SC_107,3262,20002,1957,33,0,hospital_057,3662,S_070,743
23160,-37.7497406,144.9633637,78 Cameron Street,COBURG,7798000.0,house,2007,3,1,1,SC_030,2254,19966,545,26,1,hospital_084,653,S_173,836
74029,-37.855868,145.285253,8 Short Street,BORONIA,5460000.0,house,2014,3,1,1,SC_049,4742,19869,516,53,1,hospital_049,782,S_024,650
2046,-37.780495,144.881947,24 Marsh Street,MAIDSTONE,6399000.0,house,2014,3,1,3,SC_052,923,20027,2376,0,-1,hospital_003,1451,S_049,1035
44922,-37.688873,145.126802,33 Allumba Drive,ST HELENA,5520000.0,house,2011,4,2,2,SC_051,3358,19985,2343,38,0,hospital_075,2584,S_051,913
37448,-37.650007,145.054164,44 Kalman Road,EPPING,4900000.0,house,2011,3,1,1,SC_062,2768,45795,1138,46,1,hospital_053,3325,S_096,1769
46032,-37.722471,145.131482,33 Olympic Avenue,MONTMORENCY,3043000.0,house,2013,3,1,1,SC_009,5936,19986,1187,40,0,hospital_075,2969,S_194,2479
81537,-37.979107,145.214676,8/34 Ann Street,DANDENONG,4350000.0,house,2012,1,1,1,SC_112,889,19888,1285,54,0,hospital_033,321,S_183,422
88613,-37.948094,145.044076,2/4 Henry Street,HIGHETT,13130000.0,house,2016,3,2,2,SC_079,288,19872,197,40,0,hospital_082,1773,S_069,288
17957,-37.683065,144.908722,1/3 Fraser Court,JACANA,6715000.0,house,2014,3,2,1,SC_059,2171,20030,960,37,0,hospital_104,3748,S_153,1266
38400,-37.7780304,145.0161133,61 Rathmines Street,FAIRFIELD,7800000.0,house,2009,3,2,1,SC_001,2524,19930,145,18,0,hospital_029,1444,S_219,2502
52118,-37.82929,144.999813,11 Barkly Avenue,RICHMOND,20020000.0,house,2016,4,2,1,SC_038,1459,19907,402,6,0,hospital_196,1018,S_102,1437
40922,-37.694834,145.073111,6 David Crescent,BUNDOORA,5760000.0,house,2012,5,2,2,SC_062,4926,19984,2026,34,0,hospital_041,971,S_155,1664
20407,-37.7583879,144.9731306,115 Donald Street,BRUNSWICK,9600000.0,house,2012,4,1,1,SC_103,3289,19966,1086,26,1,hospital_144,243,S_074,1717
3179,-37.814609,144.867679,24 Sanderson Street,YARRAVILLE,5985000.0,house,2010,3,1,2,SC_033,2278,20022,1760,22,0,hospital_056,2893,S_149,2394
40077,-37.694708,145.079865,22 Cheadle Crescent,BUNDOORA,8640000.0,house,2014,4,2,2,SC_062,4816,19984,1842,34,0,hospital_041,1534,S_020,2098
2045,-37.786958,144.881444,24 Lyons Street,MAIDSTONE,8480000.0,house,2014,3,1,0,SC_052,1624,20023,1688,20,0,hospital_056,804,S_049,1678
73140,-37.84079742,145.2889557,2 Battalion Court,BORONIA,4170000.0,house,2009,3,1,2,SC_022,4672,19870,1833,50,1,hospital_002,2450,S_139,1955
31986,-37.727824,144.985468,16 Furzer Street,PRESTON,10515000.0,house,2014,3,1,2,SC_103,1954,20011,1525,29,1,hospital_139,1591,S_030,259
16579,-37.7065773,144.9495392,15 Richard Street,HADFIELD,6720000.0,house,2008,3,1,1,SC_030,2876,19961,1052,35,1,hospital_139,4444,S_004,952
77622,-37.9282729,145.1938187,2 Centurion Court,MULGRAVE,8525000.0,house,2013,4,2,2,SC_073,2546,19891,4157,46,0,hospital_161,2048,S_067,980
75005,-37.885881,145.050055,30 Holywood Grove,CARNEGIE,22400000.0,house,2014,5,2,1,SC_041,766,19920,750,28,0,hospital_108,2293,S_015,593
92928,-38.011349,145.089097,2/10 Nepean Highway,ASPENDALE,6000000.0,house,2012,3,1,2,SC_003,4477,19863,545,44,0,hospital_001,2713,S_119,423
95596,-37.92957306,145.0360718,34 South Avenue,BENTLEIGH,7840000.0,house,2006,3,1,1,SC_046,1123,19938,495,39,0,hospital_110,393,S_107,1237
44682,-37.68382,145.127215,23 Marissa Crescent,GREENSBOROUGH,11526000.0,house,2011,5,2,2,SC_051,3079,19985,2796,38,0,hospital_075,3027,S_051,773
34606,-37.709906,145.023011,3 New Street,RESERVOIR,9231000.0,house,2016,3,1,3,SC_047,3253,20009,1209,33,1,hospital_025,1942,S_225,1744
